Master Menu Sheet			
Hyena's Albuquerque Menu			
AMATEUR NIGHT VIRGIN DRINKS			
Item	Price	Description	
BOTTLED WATER	$3		
CRAZY BERRY	$8	Virgin Strawberry Daiquiri	
GIGGLE JUICE	$5	Coconut Flavored Fruit Punch	
HEINEKEN 0.0	$8	Non-Alcoholic Beer	
JUICE	$3	Options: Orange Juice, Cranberry, Pineapple	
LOONEY TUNES	$8	Virgin Peach Pina Colada	
RED BULL	$6		
SF RED BULL	$6		
SODA	$3	Options: Coke, Diet Coke, Sprite, Dr. Pepper	
TOPO CHICO	$4		
BEER			
Item	Price	Subcategory	
Bud Light	$6	DOMESTIC BEER	
Budweiser	$6	DOMESTIC BEER	
Coors Light	$6	DOMESTIC BEER	
Lone Star	$6	DOMESTIC BEER	
Miller Lite	$6	DOMESTIC BEER	
Blue Moon	$7	PREMIUM BEER	
Corona	$7	PREMIUM BEER	
Dos XX	$7	PREMIUM BEER	
Heineken	$7	PREMIUM BEER	
Shiner Bock	$7	PREMIUM BEER	
Angry Orchard	$8	SUPER PREMIUM	
Guinness	$8	SUPER PREMIUM	
Negra Modelo	$8	SUPER PREMIUM	
Truly	$8	SUPER PREMIUM	
MUNCHIES (FOOD)			
Item	Price	Description	
NACHOS	$10	Beef or Chicken. Topped with Queso, Jalapenos, & Sour Cream	
BONELESS WINGS (10)	$12	BBQ, Buffalo, or Garlic Parmesan.	
MOZZARELLA STICKS	$9	Served with Marinara	
CHIPS & SALSA	$5		
CHIPS & QUESO	$7		
FRIED PICKLES	$9	Served with Ranch	
EDAMAME	$9	Steamed soybean pods topped with salt	
POPCORN	$6	Choice of Movie Butter or Featured Flavor	
Hyena’s Dallas Menu			
BEER			
Item	Price	Subcategory	Description
Bud Light	$6	DOMESTIC	
Miller Lite	$6	DOMESTIC	
Corona	$7	PREMIUM	
Dos XX	$7	PREMIUM	
Deep Ellum IPA	$8	SUPER PREMIUM	
Lakewood Temptress	$9	ULTRA PREMIUM	
DINNER BASKETS (FOOD)			
Item	Price	Description	
BRISKET SLIDERS	$14	3 Brisket Sliders served with Kettle Chips	
BRISKET TACOS	$14	3 BBQ Brisket Tacos with BBQ Sauce, Onions, & Coleslaw	
HYENA'S NACHOS	$12	Tortilla Chips with Queso, Jalapeños, Guacamole; Add Brisket – $3	
CHICKEN TENDER BASKET	$13	Served with Fries	
POPCORN SHRIMP	$13	Served with Fries	
SNACKS & MUNCHIES (FOOD)			
Item	Price	Description	
CHIPS TRIO	$9	Tortilla Chips served with Salsa, Guacamole, & Queso	
FRIED PICKLES	$9	Served with Ranch	
MOZZARELLA STICKS	$9	Served with Marinara	
CHICKEN QUESADILLA	$12		
HEADLINERS (COCKTAILS)			
Item	Price	Description	
BILL "BLOODY" MURRAY	$12	Bloody Mary with a Special 'Kick'	
DON RICKLES	$12	Classic Old Fashioned made with Bulleit Rye	
JOAN RIVERS	$12	Deep Eddy Cranberry Vodka, Peach Schnapps, & Lemonade	
Hyena’s Fort Worth Menu			
DINNER BASKETS (FOOD)			
Item	Price	Description	
CHICKEN TENDERS	$15	Crispy Fried Tenders served with French Fries & Honey Mustard	
CHICKEN WINGS	$12	10 Wings. Choice of Buffalo, Teriyaki, or Naked	
HYENA'S SAMPLER	$15	Wings, Mozzarella Sticks, Taquitos, & Jalapeño Poppers	
JALAPEÑO POPPERS	$10		
TAQUITOS	$10		
FRENCH FRIES	$7		
MARTINIS			
Item	Price	Description	
KAUFMAN MARTINI	$12	Espresso Vodka, Stoli Vanilla, Coffee Liqueur	
PINK LEMON TINI	$12	Deep Eddy Lemon Vodka, Deep Eddy Cranberry Vodka	
APPLE MARTINI	$12	Tito's Vodka, Apple Pucker, Sweet & Sour	
DESSERT			
Item	Price	Description	
CHEESECAKE	$9	NY Style Cheesecake with choice of Caramel, Chocolate, or Raspberry	
CHURROS	$7		